dataset_name,dataset,method,n_questions,mean_accuracy_pct,base_accuracy_pct,mean_delta_pp,ci_low_pp,ci_high_pp
combined,Combined,CoT (medium reasoning),300,66.77777777777779,66.77777777777779,0.0,0.0,0.0
combined,Combined,Self Consistency,300,69.1111111111111,66.77777777777779,2.3333333333333335,0.2222222222222223,4.555555555555555
combined,Combined,Self-Consistency Routed Judge,300,71.55555555555554,66.77777777777779,4.777777777777779,2.388888888888889,7.277777777777779
combined,Combined,MedPrompt,300,72.33333333333334,66.77777777777779,5.555555555555557,2.111111111111112,9.000000000000002
combined,Combined,MDAgents,300,68.0,66.77777777777779,1.2222222222222223,-2.666666666666666,5.111111111111112
combined,Combined,MedLA,300,73.5,66.77777777777779,6.722222222222223,3.2777777777777786,10.27777777777778
combined,Combined,ICL-EDR,300,73.91666666666666,66.77777777777779,7.13888888888889,3.8888888888888897,10.472222222222223
combined,Combined,iMedRAG,300,72.0,66.77777777777779,5.222222222222223,0.6666666666666674,9.77777777777778
combined,Combined,CoT (maximum reasoning),300,73.66666666666667,66.77777777777779,6.888888888888888,3.7777777777777777,10.11111111111111
medqa_test,MedQA,CoT (medium reasoning),150,65.55555555555557,65.55555555555557,0.0,0.0,0.0
medqa_test,MedQA,Self Consistency,150,68.66666666666667,65.55555555555557,3.1111111111111107,-0.2222222222222223,6.666666666666667
medqa_test,MedQA,Self-Consistency Routed Judge,150,73.11111111111111,65.55555555555557,7.555555555555556,3.444444444444445,11.780555555555315
medqa_test,MedQA,MedPrompt,150,72.0,65.55555555555557,6.444444444444446,1.111111111111112,12.0
medqa_test,MedQA,MDAgents,150,64.66666666666666,65.55555555555557,-0.8888888888888884,-6.666666666666665,4.666666666666668
medqa_test,MedQA,MedLA,150,75.0,65.55555555555557,9.444444444444446,4.222222222222223,14.77777777777778
medqa_test,MedQA,ICL-EDR,150,74.33333333333333,65.55555555555557,8.77777777777778,4.055555555555556,13.722222222222223
medqa_test,MedQA,iMedRAG,150,74.0,65.55555555555557,8.444444444444446,2.000000000000001,15.111111111111112
medqa_test,MedQA,CoT (maximum reasoning),150,77.33333333333333,65.55555555555557,11.777777777777777,7.111111111111112,16.888888888888886
pna_all,PNA,CoT (medium reasoning),150,68.0,68.0,0.0,0.0,0.0
pna_all,PNA,Self Consistency,150,69.55555555555554,68.0,1.5555555555555556,-1.1111111111111107,4.222222222222221
pna_all,PNA,Self-Consistency Routed Judge,150,70.0,68.0,2.0000000000000004,-0.6666666666666659,4.777777777777779
pna_all,PNA,MedPrompt,150,72.66666666666667,68.0,4.666666666666668,0.6666666666666679,8.777777777777779
pna_all,PNA,MDAgents,150,71.33333333333334,68.0,3.333333333333334,-1.7777777777777777,8.666666666666668
pna_all,PNA,MedLA,150,72.0,68.0,4.000000000000001,-0.1111111111111106,8.333333333333336
pna_all,PNA,ICL-EDR,150,73.5,68.0,5.500000000000001,1.0555555555555562,10.166666666666666
pna_all,PNA,iMedRAG,150,70.0,68.0,2.000000000000001,-4.444444444444444,8.222222222222223
pna_all,PNA,CoT (maximum reasoning),150,70.0,68.0,2.0,-2.222222222222222,6.0
